Período,1º Campo,2º Campo,Milha,KPI,Meta 4 Pontos,Meta 2 Pontos,Resultado Final,PESO,Pontuação Máxima,Pontuação Atingida,GAP Pontuação,GAP Peso Ponderado
W11,JM TRANSP.,,SAFETY,Aderência Treinamentos Safety Driver,> 97 %,> 95 %,96.96 %,2.5,10,5,-5.00 🔴,3
Jun,JM TRANSP.,,SAFETY,Aderência Treinamentos Safety Driver,> 97 %,> 95 %,96.41 %,2.5,10,5,-5.00 🔴,3
Jul,JM TRANSP.,,SAFETY,Aderência Treinamentos Safety Driver,> 97 %,> 95 %,96.64 %,5,20,10,-10.00 🔴,5
W20,JM TRANSP.,,SAFETY,Aderência Treinamentos Safety Driver,> 97 %,> 95 %,95.92 %,2.5,10,5,-5.00 🔴,3
W24,JM TRANSP.,,SAFETY,Aderência Treinamentos Safety Driver,> 97 %,> 95 %,96.31 %,2.5,10,5,-5.00 🔴,3
W23,JM TRANSP.,,SAFETY,Aderência Treinamentos Safety Driver,> 97 %,> 95 %,95.75 %,2.5,10,5,-5.00 🔴,3
W7,JM TRANSP.,,SAFETY,Aderência Treinamentos Safety Driver,> 97 %,> 95 %,95.63 %,2.5,10,5,-5.00 🔴,3
Abr,JM TRANSP.,,SAFETY,Aderência Treinamentos Safety Driver,> 97 %,> 95 %,96.68 %,2.5,10,5,-5.00 🔴,3
W19,JM TRANSP.,,SAFETY,Aderência Treinamentos Safety Driver,> 97 %,> 95 %,95.5 %,2.5,10,5,-5.00 🔴,3
W27,JM TRANSP.,,SAFETY,Aderência Treinamentos Safety Driver,> 97 %,> 95 %,96.83 %,2.5,10,5,-5.00 🔴,3
W14,JM TRANSP.,,SAFETY,Aderência Treinamentos Safety Driver,> 97 %,> 95 %,96.04 %,2.5,10,5,-5.00 🔴,3
W9,JM TRANSP.,,SAFETY,Aderência Treinamentos Safety Driver,> 97 %,> 95 %,95.63 %,2.5,10,5,-5.00 🔴,3
W16,JM TRANSP.,,SAFETY,Aderência Treinamentos Safety Driver,> 97 %,> 95 %,95.75 %,2.5,10,5,-5.00 🔴,3
Mar,JM TRANSP.,,SAFETY,Aderência Treinamentos Safety Driver,> 97 %,> 95 %,96.94 %,2.5,10,5,-5.00 🔴,3
W28,JM TRANSP.,,SAFETY,Aderência Treinamentos Safety Driver,> 97 %,> 95 %,96.2 %,5,20,10,-10.00 🔴,5
W18,JM TRANSP.,,SAFETY,Aderência Treinamentos Safety Driver,> 97 %,> 95 %,96.91 %,2.5,10,5,-5.00 🔴,3
W21,JM TRANSP.,,SAFETY,Aderência Treinamentos Safety Driver,> 97 %,> 95 %,96.54 %,2.5,10,5,-5.00 🔴,3
W12,JM TRANSP.,,SAFETY,Aderência Treinamentos Safety Driver,> 97 %,> 95 %,97.07 %,2.5,10,10,0.00 🟢,0
W28,JM TRANSP.,,SAFETY,Aderência Treinamentos Safety Dispatcher,> 97 %,> 95 %,94.74 %,5,20,0,-20.00 🔴,10
Fev,JM TRANSP.,,SAFETY,Aderência Treinamentos Safety Dispatcher,> 97 %,> 95 %,100 %,2.5,10,10,0.00 🟢,0
Mar,JM TRANSP.,,SAFETY,Aderência Treinamentos Safety Dispatcher,> 97 %,> 95 %,100 %,2.5,10,10,0.00 🟢,0
W29,JM TRANSP.,,SAFETY,Aderência Treinamentos Safety Dispatcher,> 97 %,> 95 %,94.74 %,5,20,0,-20.00 🔴,10
Mai,JM TRANSP.,,SAFETY,Aderência Treinamentos Safety Dispatcher,> 97 %,> 95 %,100 %,2.5,10,10,0.00 🟢,0
W9,JM TRANSP.,,SAFETY,Aderência Treinamentos Safety Dispatcher,> 97 %,> 95 %,100 %,2.5,10,10,0.00 🟢,0
W27,JM TRANSP.,,SAFETY,Aderência Treinamentos Safety Dispatcher,> 97 %,> 95 %,94.59 %,2.5,10,0,-10.00 🔴,5
W21,JM TRANSP.,,SAFETY,Aderência Treinamentos Safety Dispatcher,> 97 %,> 95 %,100 %,2.5,10,10,0.00 🟢,0
W8,JM TRANSP.,,SAFETY,Aderência Treinamentos Safety Dispatcher,> 97 %,> 95 %,100 %,2.5,10,10,0.00 🟢,0
W24,JM TRANSP.,,SAFETY,Aderência Treinamentos Safety Dispatcher,> 97 %,> 95 %,100 %,2.5,10,10,0.00 🟢,0
