Período,1º Campo,2º Campo,Milha,KPI,Meta 4 Pontos,Meta 2 Pontos,Resultado Final,PESO,Pontuação Máxima,Pontuação Atingida,GAP Pontuação,GAP Peso Ponderado
W24,JM TRANSP.,,LM,PNR Anulado,> 0 %,,0 %,0,0,0,0.00 🟢,0
W21,JM TRANSP.,,LM,PNR Anulado,> 0 %,,9.09 %,0,0,0,0.00 🟢,0
W25,JM TRANSP.,,LM,PNR Anulado,> 0 %,,,0,0,0,0.00 🟢,0
W25,JM TRANSP.,,LM,% Real x D7 FDS (SVC) SPOT,> 90 %,> 80 %,18.18 %,4,16,0,-16.00 🔴,1
W21,JM TRANSP.,,LM,% Real x D7 FDS (SVC) SPOT,> 90 %,> 80 %,69.23 %,4,16,0,-16.00 🔴,1
W23,JM TRANSP.,,LM,% Real x D7 FDS (SVC) SPOT,> 90 %,> 80 %,54.55 %,4,16,0,-16.00 🔴,1
W22,JM TRANSP.,,LM,% Real x D7 FDS (SVC) SPOT,> 90 %,> 80 %,63.64 %,4,16,0,-16.00 🔴,1
W24,JM TRANSP.,,LM,% Real x D7 FDS (SVC) SPOT,> 90 %,> 80 %,66.67 %,4,16,0,-16.00 🔴,1
W21,JM TRANSP.,,LM,Aceite Scheduling Pré Routing,< 5 %,< 7 %,6.09 %,4,16,8,-8.00 🔴,0
W23,JM TRANSP.,,LM,Aceite Scheduling Pré Routing,< 5 %,< 7 %,5.03 %,4,16,8,-8.00 🔴,0
W24,JM TRANSP.,,LM,Aceite Scheduling Pré Routing,< 5 %,< 7 %,3.78 %,4,16,16,0.00 🟢,0
W25,JM TRANSP.,,LM,Aceite Scheduling Pré Routing,< 5 %,< 7 %,1.48 %,4,16,16,0.00 🟢,0
W22,JM TRANSP.,,LM,Aceite Scheduling Pré Routing,< 5 %,< 7 %,6.13 %,4,16,8,-8.00 🔴,0
W23,JM TRANSP.,,LM,SDD - % ER,> 95 %,> 93 %,91.83 %,5,20,0,-20.00 🔴,1
W25,JM TRANSP.,,LM,SDD - % ER,> 95 %,> 93 %,54.64 %,5,20,0,-20.00 🔴,1
W24,JM TRANSP.,,LM,SDD - % ER,> 95 %,> 93 %,95.76 %,5,20,20,0.00 🟢,0
W22,JM TRANSP.,,LM,SDD - % ER,> 95 %,> 93 %,82.41 %,5,20,0,-20.00 🔴,1
W21,JM TRANSP.,,LM,SDD - % ER,> 95 %,> 93 %,76.23 %,5,20,0,-20.00 🔴,1
