Período,1º Campo,2º Campo,Milha,KPI,Meta 4 Pontos,Meta 2 Pontos,Resultado Final,PESO,Pontuação Máxima,Pontuação Atingida,GAP Pontuação,GAP Peso Ponderado
W23,JM TRANSP.,,FM - FULL,Ad. Config FULL,> 95 %,> 93 %,,3,12,0,-12.00 🔴,0
W24,JM TRANSP.,,FM - FULL,Ad. Config FULL,> 95 %,> 93 %,,3,12,0,-12.00 🔴,0
W26,JM TRANSP.,,FM - FULL,Ad. Config FULL,> 95 %,> 93 %,91.23 %,3,12,0,-12.00 🔴,0
Mai,JM TRANSP.,,FM - FULL,Ad. Config FULL,> 95 %,> 93 %,195.92 %,3,12,12,0.00 🟢,0
W24,JM TRANSP.,,FM - XD,Pickup Success,> 92.6 %,> 90.6 %,93.03 %,7,28,28,0.00 🟢,0
W26,JM TRANSP.,,FM - XD,Pickup Success,> 92.6 %,> 90.6 %,92.92 %,7,28,28,0.00 🟢,0
Mai,JM TRANSP.,,FM - XD,Pickup Success,> 92.9 %,> 90.9 %,94.8 %,7,28,28,0.00 🟢,0
W23,JM TRANSP.,,FM - XD,Pickup Success,> 92.6 %,> 90.6 %,93.37 %,7,28,28,0.00 🟢,0
W25,JM TRANSP.,,FM - XD,Pickup Success,> 92.6 %,> 90.6 %,93.06 %,7,28,28,0.00 🟢,0
Mai,JM TRANSP.,,FM - XD,Pickup Sucess Ontime,> 83.9 %,> 81.9 %,84.94 %,4,16,16,0.00 🟢,0
W26,JM TRANSP.,,FM - XD,Pickup Sucess Ontime,> 82.5 %,> 80.5 %,81.79 %,4,16,8,-8.00 🔴,3
W24,JM TRANSP.,,FM - XD,Pickup Sucess Ontime,> 82.5 %,> 80.5 %,84.01 %,4,16,16,0.00 🟢,0
W23,JM TRANSP.,,FM - XD,Pickup Sucess Ontime,> 82.52 %,> 80.52 %,84.07 %,4,16,16,0.00 🟢,0
W25,JM TRANSP.,,FM - XD,Pickup Sucess Ontime,> 82.5 %,> 80.5 %,81.86 %,4,16,8,-8.00 🔴,3
W26,JM TRANSP.,,FM - XD,Aderência ao Perfil,> 95 %,> 93 %,96.49 %,4,16,16,0.00 🟢,0
W24,JM TRANSP.,,FM - XD,Aderência ao Perfil,> 95 %,> 93 %,97.9 %,4,16,16,0.00 🟢,0
W23,JM TRANSP.,,FM - XD,Aderência ao Perfil,> 95 %,> 93 %,97.38 %,4,16,16,0.00 🟢,0
W25,JM TRANSP.,,FM - XD,Aderência ao Perfil,> 95 %,> 93 %,96.64 %,4,16,16,0.00 🟢,0
Mai,JM TRANSP.,,FM - XD,Aderência ao Perfil,> 95 %,> 93 %,96.89 %,4,16,16,0.00 🟢,0
Mai,JM TRANSP.,,FM - XD,1º Bipe - XD,> 85 %,> 83 %,93.6 %,4,16,16,0.00 🟢,0
W26,JM TRANSP.,,FM - XD,1º Bipe - XD,> 85 %,> 83 %,93.09 %,4,16,16,0.00 🟢,0
W24,JM TRANSP.,,FM - XD,1º Bipe - XD,> 85 %,> 83 %,92.51 %,4,16,16,0.00 🟢,0
W25,JM TRANSP.,,FM - XD,1º Bipe - XD,> 85 %,> 83 %,92.39 %,4,16,16,0.00 🟢,0
W23,JM TRANSP.,,FM - XD,1º Bipe - XD,> 85 %,> 83 %,92.36 %,4,16,16,0.00 🟢,0
W25,JM TRANSP.,,FM - XD,Aceite de Scheduling,> 95 %,> 93 %,98 %,3,12,12,0.00 🟢,0
W24,JM TRANSP.,,FM - XD,Aceite de Scheduling,> 95 %,> 93 %,82.28 %,3,12,0,-12.00 🔴,5
W26,JM TRANSP.,,FM - XD,Aceite de Scheduling,> 95 %,> 93 %,99.9 %,3,12,12,0.00 🟢,0
Mai,JM TRANSP.,,FM - XD,Aceite de Scheduling,> 95 %,> 93 %,93.44 %,3,12,6,-6.00 🔴,3
W23,JM TRANSP.,,FM - XD,Aceite de Scheduling,> 95 %,> 93 %,86.76 %,3,12,0,-12.00 🔴,5
W26,JM TRANSP.,,FM - XD,Ad. Config XD,> 97 %,> 95 %,,3,12,0,-12.00 🔴,5
W25,JM TRANSP.,,FM - XD,Ad. Config XD,> 97 %,> 95 %,,3,12,0,-12.00 🔴,5
